,O2 (Dis).O2 mg/L@La_Jara_Creek,O2 (Dis).O2 mg/L@La_Jara_Creek,O2 (Dis).O2 mg/L@La_Jara_Creek,O2 (Dis).O2 mg/L@La_Jara_Creek,O2%.O2%@La_Jara_Creek,O2%.O2%@La_Jara_Creek,O2%.O2%@La_Jara_Creek,O2%.O2%@La_Jara_Creek,PH Voltage.pH@La_Jara_Creek,PH Voltage.pH@La_Jara_Creek,PH Voltage.pH@La_Jara_Creek,PH Voltage.pH@La_Jara_Creek,pH.Ph@La_Jara_Creek,pH.Ph@La_Jara_Creek,pH.Ph@La_Jara_Creek,pH.Ph@La_Jara_Creek,Sp Cond.uS@La_Jara_Creek,Sp Cond.uS@La_Jara_Creek,Sp Cond.uS@La_Jara_Creek,Sp Cond.uS@La_Jara_Creek,Turbidity.mV@La_Jara_Creek,Turbidity.mV@La_Jara_Creek,Turbidity.mV@La_Jara_Creek,Turbidity.mV@La_Jara_Creek,Water Temp.C@La_Jara_Creek,Water Temp.C@La_Jara_Creek,Water Temp.C@La_Jara_Creek,Water Temp.C@La_Jara_Creek
05/25/2011 18:00:40,8.51,,,1,78.5,,,1,,,,,7.28,,,1,38,,,1,4.1,,,1,11.74,,,1
05/25/2011 18:15:40,8.55,,,1,78.4,,,1,,,,,7.27,,,1,38,,,1,4.2,,,1,11.5,,,1
05/25/2011 18:30:40,8.6,,,1,78.4,,,1,,,,,7.25,,,1,39,,,1,5,,,1,11.25,,,1
05/25/2011 18:45:40,8.66,,,1,78.5,,,1,,,,,7.24,,,1,39,,,1,4.6,,,1,10.95,,,1
05/25/2011 19:00:40,8.75,,,1,78.6,,,1,,,,,7.22,,,1,39,,,1,5.9,,,1,10.6,,,1
05/25/2011 19:15:40,8.84,,,1,78.8,,,1,,,,,7.2,,,1,39,,,1,6.7,,,1,10.24,,,1
05/25/2011 19:30:40,8.94,,,1,79,,,1,,,,,7.2,,,1,39,,,1,4.2,,,1,9.88,,,1
05/25/2011 19:45:40,9.03,,,1,79.1,,,1,,,,,7.19,,,1,39,,,1,3.7,,,1,9.54,,,1
05/25/2011 20:00:40,9.12,,,1,79.3,,,1,,,,,7.19,,,1,39,,,1,3.9,,,1,9.21,,,1
05/25/2011 20:15:40,9.21,,,1,79.5,,,1,,,,,7.18,,,1,39,,,1,3.9,,,1,8.89,,,1
05/25/2011 20:30:40,9.29,,,1,79.6,,,1,,,,,7.17,,,1,39,,,1,3.8,,,1,8.56,,,1
05/25/2011 20:45:40,9.39,,,1,79.8,,,1,,,,,7.17,,,1,39,,,1,5,,,1,8.24,,,1
05/25/2011 21:00:40,9.46,,,1,79.8,,,1,,,,,7.17,,,1,39,,,1,4.3,,,1,7.94,,,1
05/25/2011 21:15:40,9.54,,,1,79.9,,,1,,,,,7.17,,,1,39,,,1,4.5,,,1,7.66,,,1
05/25/2011 21:30:40,9.65,,,1,80.3,,,1,,,,,7.17,,,1,39,,,1,6,,,1,7.39,,,1
05/25/2011 21:45:40,9.72,,,1,80.3,,,1,,,,,7.17,,,1,40,,,1,4.3,,,1,7.13,,,1
05/25/2011 22:00:40,9.79,,,1,80.4,,,1,,,,,7.17,,,1,39,,,1,4,,,1,6.88,,,1
05/25/2011 22:15:40,9.86,,,1,80.5,,,1,,,,,7.17,,,1,39,,,1,5,,,1,6.67,,,1
05/25/2011 22:30:40,9.93,,,1,80.7,,,1,,,,,7.18,,,1,39,,,1,4.7,,,1,6.46,,,1
05/25/2011 22:45:40,10,,,1,80.8,,,1,,,,,7.18,,,1,39,,,1,3.9,,,1,6.26,,,1
05/25/2011 23:00:40,10.06,,,1,81,,,1,,,,,7.18,,,1,39,,,1,4.9,,,1,6.06,,,1
05/25/2011 23:15:40,10.12,,,1,81,,,1,,,,,7.18,,,1,39,,,1,3.5,,,1,5.86,,,1
05/25/2011 23:30:40,10.19,,,1,81.2,,,1,,,,,7.17,,,1,39,,,1,3.6,,,1,5.68,,,1
05/25/2011 23:45:40,10.24,,,1,81.3,,,1,,,,,7.17,,,1,39,,,1,3.7,,,1,5.5,,,1
05/26/2011 00:00:40,10.31,,,1,81.4,,,1,,,,,7.17,,,1,39,,,1,3.6,,,1,5.34,,,1
05/26/2011 00:15:40,10.35,,,1,81.5,,,1,,,,,7.17,,,1,39,,,1,4,,,1,5.18,,,1
05/26/2011 00:30:40,10.39,,,1,81.5,,,1,,,,,7.18,,,1,39,,,1,3.4,,,1,5.05,,,1
05/26/2011 00:45:40,10.43,,,1,81.6,,,1,,,,,7.17,,,1,39,,,1,3.5,,,1,4.94,,,1
05/26/2011 01:00:40,10.47,,,1,81.7,,,1,,,,,7.17,,,1,39,,,1,3.6,,,1,4.85,,,1
05/26/2011 01:15:40,10.51,,,1,81.7,,,1,,,,,7.17,,,1,39,,,1,3.4,,,1,4.73,,,1
05/26/2011 01:30:40,10.56,,,1,81.8,,,1,,,,,7.17,,,1,39,,,1,2.9,,,1,4.6,,,1
05/26/2011 01:45:40,10.6,,,1,81.9,,,1,,,,,7.17,,,1,39,,,1,3.7,,,1,4.49,,,1
05/26/2011 02:00:40,10.63,,,1,82,,,1,,,,,7.17,,,1,39,,,1,3.2,,,1,4.4,,,1
05/26/2011 02:15:40,10.67,,,1,82.1,,,1,,,,,7.17,,,1,39,,,1,3.4,,,1,4.31,,,1
05/26/2011 02:30:40,10.72,,,1,82.2,,,1,,,,,7.16,,,1,39,,,1,2.9,,,1,4.19,,,1
05/26/2011 02:45:40,10.76,,,1,82.3,,,1,,,,,7.16,,,1,39,,,1,3.9,,,1,4.1,,,1
05/26/2011 03:00:40,10.8,,,1,82.4,,,1,,,,,7.16,,,1,39,,,1,2.8,,,1,4,,,1
05/26/2011 03:15:40,10.84,,,1,82.5,,,1,,,,,7.16,,,1,39,,,1,2.6,,,1,3.9,,,1
05/26/2011 03:30:40,10.86,,,1,82.5,,,1,,,,,7.16,,,1,39,,,1,3.1,,,1,3.82,,,1
05/26/2011 03:45:40,10.89,,,1,82.5,,,1,,,,,7.16,,,1,39,,,1,2.6,,,1,3.75,,,1
05/26/2011 04:00:40,10.93,,,1,82.6,,,1,,,,,7.16,,,1,39,,,1,2.6,,,1,3.66,,,1
05/26/2011 04:15:40,10.95,,,1,82.6,,,1,,,,,7.16,,,1,39,,,1,2.9,,,1,3.59,,,1
05/26/2011 04:30:40,10.97,,,1,82.7,,,1,,,,,7.16,,,1,39,,,1,2.9,,,1,3.52,,,1
05/26/2011 04:45:40,11,,,1,82.7,,,1,,,,,7.16,,,1,39,,,1,2.6,,,1,3.46,,,1
05/26/2011 05:00:40,11.03,,,1,82.8,,,1,,,,,7.16,,,1,39,,,1,4.3,,,1,3.4,,,1
05/26/2011 05:15:40,11.04,,,1,82.8,,,1,,,,,7.16,,,1,39,,,1,2.4,,,1,3.34,,,1
05/26/2011 05:30:40,11.07,,,1,82.8,,,1,,,,,7.15,,,1,39,,,1,2.6,,,1,3.28,,,1
05/26/2011 05:45:40,11.09,,,1,82.9,,,1,,,,,7.16,,,1,39,,,1,2.4,,,1,3.22,,,1
05/26/2011 06:00:40,11.13,,,1,83.1,,,1,,,,,7.16,,,1,39,,,1,2.5,,,1,3.16,,,1
05/26/2011 06:15:40,11.17,,,1,83.2,,,1,,,,,7.15,,,1,38,,,1,3,,,1,3.11,,,1
05/26/2011 06:30:40,11.2,,,1,83.4,,,1,,,,,7.17,,,1,38,,,1,2.5,,,1,3.07,,,1
05/26/2011 06:45:40,11.24,,,1,83.7,,,1,,,,,7.18,,,1,38,,,1,2.5,,,1,3.08,,,1
05/26/2011 07:00:40,11.26,,,1,83.9,,,1,,,,,7.19,,,1,38,,,1,2.1,,,1,3.11,,,1
05/26/2011 07:15:40,11.28,,,1,84.2,,,1,,,,,7.2,,,1,38,,,1,2.1,,,1,3.2,,,1
05/26/2011 07:30:40,11.25,,,1,84.3,,,1,,,,,7.22,,,1,38,,,1,1.9,,,1,3.33,,,1
05/26/2011 07:45:40,11.2,,,1,84.3,,,1,,,,,7.23,,,1,38,,,1,1.9,,,1,3.47,,,1
05/26/2011 08:00:40,11.15,,,1,84.2,,,1,,,,,7.23,,,1,38,,,1,1.7,,,1,3.61,,,1
05/26/2011 08:15:40,11.09,,,1,84.3,,,1,,,,,7.25,,,1,37,,,1,2,,,1,3.85,,,1
05/26/2011 08:30:40,11.04,,,1,84.5,,,1,,,,,7.27,,,1,37,,,1,1.6,,,1,4.12,,,1
05/26/2011 08:45:40,10.96,,,1,84.4,,,1,,,,,7.29,,,1,37,,,1,2,,,1,4.35,,,1
05/26/2011 09:00:40,10.86,,,1,84.2,,,1,,,,,7.3,,,1,37,,,1,2,,,1,4.62,,,1
05/26/2011 09:15:40,10.77,,,1,84.1,,,1,,,,,7.3,,,1,37,,,1,2.7,,,1,4.9,,,1
05/26/2011 09:30:40,10.7,,,1,84.2,,,1,,,,,7.32,,,1,37,,,1,1.8,,,1,5.18,,,1
05/26/2011 09:45:40,10.57,,,1,84.1,,,1,,,,,7.34,,,1,37,,,1,2.1,,,1,5.64,,,1
05/26/2011 10:00:40,10.42,,,1,83.7,,,1,,,,,7.35,,,1,37,,,1,3,,,1,6.02,,,1
05/26/2011 10:15:40,10.22,,,1,83.3,,,1,,,,,7.36,,,1,37,,,1,2.3,,,1,6.57,,,1
05/26/2011 10:30:40,10,,,1,83,,,1,,,,,7.38,,,1,37,,,1,2.9,,,1,7.3,,,1
05/26/2011 10:45:40,9.78,,,1,82.7,,,1,,,,,7.41,,,1,37,,,1,2.6,,,1,8.08,,,1
05/26/2011 11:00:40,9.5,,,1,82.3,,,1,,,,,7.43,,,1,37,,,1,2.6,,,1,9.05,,,1
05/26/2011 11:15:40,9.25,,,1,82.1,,,1,,,,,7.46,,,1,37,,,1,2.8,,,1,10.1,,,1
05/26/2011 11:30:40,9.09,,,1,82,,,1,,,,,7.46,,,1,37,,,1,4.6,,,1,10.78,,,1
05/26/2011 11:45:40,8.82,,,1,81.5,,,1,,,,,7.51,,,1,37,,,1,3.6,,,1,11.84,,,1
05/26/2011 12:00:40,8.54,,,1,81.2,,,1,,,,,7.52,,,1,38,,,1,5.3,,,1,13.1,,,1
05/26/2011 12:15:40,8.3,,,1,80.4,,,1,,,,,7.52,,,1,38,,,1,3.4,,,1,13.92,,,1
05/26/2011 12:30:40,8.17,,,1,80,,,1,,,,,7.52,,,1,38,,,1,3.2,,,1,14.41,,,1
05/26/2011 12:45:40,8.19,,,1,80,,,1,,,,,7.51,,,1,38,,,1,2.8,,,1,14.33,,,1
05/26/2011 13:00:40,8.08,,,1,79.3,,,1,,,,,7.48,,,1,39,,,1,3.4,,,1,14.48,,,1
05/26/2011 13:15:40,8.01,,,1,78.9,,,1,,,,,7.47,,,1,39,,,1,3.5,,,1,14.68,,,1
05/26/2011 13:30:40,7.97,,,1,78.6,,,1,,,,,7.45,,,1,39,,,1,3.2,,,1,14.76,,,1
05/26/2011 13:45:40,7.95,,,1,78.6,,,1,,,,,7.44,,,1,39,,,1,3.9,,,1,14.86,,,1
05/26/2011 14:00:40,7.95,,,1,78.6,,,1,,,,,7.44,,,1,40,,,1,3.2,,,1,14.89,,,1
05/26/2011 14:15:40,7.92,,,1,78.4,,,1,,,,,7.44,,,1,40,,,1,3.2,,,1,14.89,,,1
05/26/2011 14:30:40,7.9,,,1,78.2,,,1,,,,,7.42,,,1,40,,,1,2.8,,,1,14.9,,,1
05/26/2011 14:45:40,7.93,,,1,78.3,,,1,,,,,7.41,,,1,40,,,1,3.3,,,1,14.82,,,1
05/26/2011 15:00:40,8.04,,,1,78.9,,,1,,,,,7.4,,,1,40,,,1,3.7,,,1,14.47,,,1
05/26/2011 15:15:40,8.09,,,1,79.2,,,1,,,,,7.42,,,1,40,,,1,2.8,,,1,14.38,,,1
05/26/2011 15:30:40,8.1,,,1,79.2,,,1,,,,,7.43,,,1,40,,,1,5.4,,,1,14.36,,,1
05/26/2011 15:45:40,8.1,,,1,79,,,1,,,,,7.43,,,1,41,,,1,3.7,,,1,14.22,,,1
05/26/2011 16:00:40,8.1,,,1,78.8,,,1,,,,,7.42,,,1,41,,,1,3.7,,,1,14.13,,,1
05/26/2011 16:15:40,8.09,,,1,78.4,,,1,,,,,7.39,,,1,41,,,1,3.7,,,1,13.94,,,1
05/26/2011 16:30:40,8.14,,,1,78.3,,,1,,,,,7.35,,,1,41,,,1,4.2,,,1,13.65,,,1
05/26/2011 16:45:40,8.17,,,1,78.1,,,1,,,,,7.3,,,1,42,,,1,3.8,,,1,13.29,,,1
05/26/2011 17:00:40,8.21,,,1,77.8,,,1,,,,,7.27,,,1,42,,,1,3.4,,,1,12.97,,,1
05/26/2011 17:15:40,8.27,,,1,77.9,,,1,,,,,7.26,,,1,42,,,1,3.7,,,1,12.67,,,1
05/26/2011 17:30:40,8.37,,,1,78.4,,,1,,,,,7.27,,,1,42,,,1,4.7,,,1,12.42,,,1
05/26/2011 17:45:40,8.4,,,1,78.4,,,1,,,,,7.28,,,1,42,,,1,3.9,,,1,12.22,,,1
05/26/2011 18:00:40,8.46,,,1,78.5,,,1,,,,,7.28,,,1,42,,,1,3.8,,,1,12,,,1
05/26/2011 18:15:40,8.49,,,1,78.5,,,1,,,,,7.28,,,1,42,,,1,3.7,,,1,11.85,,,1
05/26/2011 18:30:40,8.54,,,1,78.7,,,1,,,,,7.27,,,1,42,,,1,3.9,,,1,11.67,,,1
05/26/2011 18:45:40,8.55,,,1,78.4,,,1,,,,,7.27,,,1,42,,,1,3.9,,,1,11.49,,,1
05/26/2011 19:00:40,8.56,,,1,78.1,,,1,,,,,7.25,,,1,43,,,1,4.4,,,1,11.24,,,1
05/26/2011 19:15:40,8.6,,,1,78,,,1,,,,,7.23,,,1,43,,,1,4.1,,,1,11.02,,,1
05/26/2011 19:30:40,8.68,,,1,78.4,,,1,,,,,7.23,,,1,43,,,1,4.2,,,1,10.81,,,1
05/26/2011 19:45:40,8.74,,,1,78.5,,,1,,,,,7.22,,,1,43,,,1,3.9,,,1,10.59,,,1
05/26/2011 20:00:40,8.78,,,1,78.4,,,1,,,,,7.21,,,1,43,,,1,3.7,,,1,10.35,,,1
05/26/2011 20:15:40,8.83,,,1,78.4,,,1,,,,,7.2,,,1,43,,,1,4.8,,,1,10.1,,,1
05/26/2011 20:30:40,8.89,,,1,78.5,,,1,,,,,7.19,,,1,43,,,1,4.5,,,1,9.86,,,1
05/26/2011 20:45:40,8.96,,,1,78.7,,,1,,,,,7.19,,,1,43,,,1,5.4,,,1,9.62,,,1
05/26/2011 21:00:40,9.03,,,1,78.9,,,1,,,,,7.18,,,1,43,,,1,4.5,,,1,9.39,,,1
05/26/2011 21:15:40,9.08,,,1,78.9,,,1,,,,,7.18,,,1,43,,,1,4.3,,,1,9.18,,,1
05/26/2011 21:30:40,9.14,,,1,79,,,1,,,,,7.18,,,1,43,,,1,5.5,,,1,8.98,,,1
05/26/2011 21:45:40,9.2,,,1,79.2,,,1,,,,,7.18,,,1,43,,,1,4.7,,,1,8.77,,,1
05/26/2011 22:00:40,9.25,,,1,79.2,,,1,,,,,7.19,,,1,43,,,1,4.6,,,1,8.58,,,1
05/26/2011 22:15:40,9.29,,,1,79.2,,,1,,,,,7.19,,,1,43,,,1,4.7,,,1,8.41,,,1
05/26/2011 22:30:40,9.36,,,1,79.5,,,1,,,,,7.18,,,1,44,,,1,4.2,,,1,8.24,,,1
05/26/2011 22:45:40,9.43,,,1,79.8,,,1,,,,,7.18,,,1,44,,,1,4.4,,,1,8.07,,,1
05/26/2011 23:00:40,9.47,,,1,79.8,,,1,,,,,7.18,,,1,44,,,1,4.3,,,1,7.9,,,1
05/26/2011 23:15:40,9.53,,,1,80,,,1,,,,,7.19,,,1,44,,,1,3.8,,,1,7.75,,,1
05/26/2011 23:30:40,9.57,,,1,80.1,,,1,,,,,7.19,,,1,44,,,1,4,,,1,7.61,,,1
05/26/2011 23:45:40,9.62,,,1,80.2,,,1,,,,,7.19,,,1,44,,,1,4.5,,,1,7.49,,,1
05/27/2011 00:00:40,9.67,,,1,80.4,,,1,,,,,7.19,,,1,44,,,1,4.3,,,1,7.36,,,1
05/27/2011 00:15:40,9.7,,,1,80.4,,,1,,,,,7.18,,,1,44,,,1,4,,,1,7.24,,,1
05/27/2011 00:30:40,9.68,,,1,80,,,1,,,,,7.19,,,1,44,,,1,4,,,1,7.13,,,1
05/27/2011 00:45:40,9.73,,,1,80.2,,,1,,,,,7.19,,,1,44,,,1,3.7,,,1,7.02,,,1
05/27/2011 01:00:40,9.8,,,1,80.5,,,1,,,,,7.18,,,1,44,,,1,4,,,1,6.92,,,1
05/27/2011 01:15:40,9.84,,,1,80.6,,,1,,,,,7.18,,,1,44,,,1,3.9,,,1,6.8,,,1
05/27/2011 01:30:40,9.86,,,1,80.6,,,1,,,,,7.18,,,1,44,,,1,4.6,,,1,6.71,,,1
05/27/2011 01:45:40,9.89,,,1,80.6,,,1,,,,,7.18,,,1,44,,,1,3.5,,,1,6.6,,,1
05/27/2011 02:00:40,9.91,,,1,80.7,,,1,,,,,7.18,,,1,44,,,1,3.6,,,1,6.51,,,1
05/27/2011 02:15:40,9.97,,,1,80.9,,,1,,,,,7.17,,,1,44,,,1,3.4,,,1,6.42,,,1
05/27/2011 02:30:40,9.99,,,1,81,,,1,,,,,7.18,,,1,45,,,1,4,,,1,6.34,,,1
05/27/2011 02:45:40,10,,,1,80.9,,,1,,,,,7.18,,,1,45,,,1,3.9,,,1,6.29,,,1
05/27/2011 03:00:40,10.03,,,1,81,,,1,,,,,7.17,,,1,45,,,1,3.8,,,1,6.22,,,1
05/27/2011 03:15:40,10.04,,,1,81,,,1,,,,,7.17,,,1,45,,,1,3.7,,,1,6.15,,,1
05/27/2011 03:30:40,10.08,,,1,81.1,,,1,,,,,7.17,,,1,45,,,1,4.3,,,1,6.07,,,1
05/27/2011 03:45:40,10.09,,,1,81,,,1,,,,,7.17,,,1,45,,,1,3.3,,,1,5.99,,,1
05/27/2011 04:00:40,10.13,,,1,81.2,,,1,,,,,7.17,,,1,45,,,1,3.4,,,1,5.92,,,1
05/27/2011 04:15:40,10.15,,,1,81.2,,,1,,,,,7.17,,,1,45,,,1,3.6,,,1,5.84,,,1
05/27/2011 04:30:40,10.19,,,1,81.3,,,1,,,,,7.17,,,1,45,,,1,4.2,,,1,5.76,,,1
05/27/2011 04:45:40,10.2,,,1,81.3,,,1,,,,,7.17,,,1,45,,,1,3,,,1,5.68,,,1
05/27/2011 05:00:40,10.24,,,1,81.5,,,1,,,,,7.16,,,1,45,,,1,3.1,,,1,5.61,,,1
05/27/2011 05:15:40,10.27,,,1,81.5,,,1,,,,,7.16,,,1,45,,,1,3.4,,,1,5.53,,,1
05/27/2011 05:30:40,10.31,,,1,81.7,,,1,,,,,7.17,,,1,45,,,1,3.6,,,1,5.46,,,1
05/27/2011 05:45:40,10.33,,,1,81.7,,,1,,,,,7.16,,,1,44,,,1,4,,,1,5.38,,,1
05/27/2011 06:00:40,10.37,,,1,81.9,,,1,,,,,7.16,,,1,44,,,1,3.8,,,1,5.32,,,1
05/27/2011 06:15:40,10.41,,,1,82.1,,,1,,,,,7.17,,,1,44,,,1,3.7,,,1,5.27,,,1
05/27/2011 06:30:40,10.44,,,1,82.2,,,1,,,,,7.18,,,1,44,,,1,3.2,,,1,5.23,,,1
05/27/2011 06:45:40,10.45,,,1,82.2,,,1,,,,,7.19,,,1,45,,,1,2.9,,,1,5.21,,,1
05/27/2011 07:00:40,10.47,,,1,82.4,,,1,,,,,7.19,,,1,45,,,1,2.5,,,1,5.19,,,1
05/27/2011 07:15:40,10.47,,,1,82.4,,,1,,,,,7.2,,,1,45,,,1,2.5,,,1,5.21,,,1
05/27/2011 07:30:40,10.49,,,1,82.7,,,1,,,,,7.21,,,1,45,,,1,1.9,,,1,5.25,,,1
05/27/2011 07:45:40,10.5,,,1,82.8,,,1,,,,,7.21,,,1,45,,,1,2.1,,,1,5.26,,,1
05/27/2011 08:00:40,10.49,,,1,82.8,,,1,,,,,7.21,,,1,45,,,1,1.7,,,1,5.32,,,1
05/27/2011 08:15:40,10.47,,,1,82.9,,,1,,,,,7.23,,,1,44,,,1,1.9,,,1,5.43,,,1
05/27/2011 08:30:40,10.47,,,1,83.2,,,1,,,,,7.27,,,1,44,,,1,1.8,,,1,5.57,,,1
05/27/2011 08:45:40,10.45,,,1,83.3,,,1,,,,,7.26,,,1,44,,,1,2,,,1,5.71,,,1
05/27/2011 09:00:40,10.42,,,1,83.3,,,1,,,,,7.27,,,1,44,,,1,1.6,,,1,5.83,,,1
05/27/2011 09:15:40,10.37,,,1,83.4,,,1,,,,,7.29,,,1,44,,,1,2,,,1,6.02,,,1
05/27/2011 09:30:40,10.31,,,1,83.1,,,1,,,,,7.28,,,1,45,,,1,1.9,,,1,6.15,,,1
05/27/2011 09:45:40,10.25,,,1,83.3,,,1,,,,,7.29,,,1,45,,,1,4.6,,,1,6.45,,,1
05/27/2011 10:00:40,10.1,,,1,83,,,1,,,,,7.31,,,1,45,,,1,2.3,,,1,6.91,,,1
05/27/2011 10:15:40,9.88,,,1,82.6,,,1,,,,,7.33,,,1,45,,,1,2.4,,,1,7.6,,,1
05/27/2011 10:30:40,9.64,,,1,82.1,,,1,,,,,7.35,,,1,45,,,1,2.1,,,1,8.33,,,1
05/27/2011 10:45:40,9.4,,,1,81.9,,,1,,,,,7.38,,,1,45,,,1,3.7,,,1,9.26,,,1
05/27/2011 11:00:40,9.14,,,1,81.6,,,1,,,,,7.41,,,1,45,,,1,2.6,,,1,10.34,,,1
05/27/2011 11:15:40,8.85,,,1,81.3,,,1,,,,,7.43,,,1,45,,,1,2.6,,,1,11.58,,,1
05/27/2011 11:30:40,8.56,,,1,80.9,,,1,,,,,7.46,,,1,45,,,1,3.1,,,1,12.85,,,1
05/27/2011 11:45:40,8.3,,,1,80.6,,,1,,,,,7.5,,,1,45,,,1,3.4,,,1,13.99,,,1
05/27/2011 12:00:40,8.1,,,1,80.4,,,1,,,,,7.53,,,1,46,,,1,2.9,,,1,15.03,,,1
05/27/2011 12:15:40,7.92,,,1,79.6,,,1,,,,,7.53,,,1,46,,,1,7.8,,,1,15.66,,,1
05/27/2011 12:30:40,7.79,,,1,79,,,1,,,,,7.51,,,1,47,,,1,2.7,,,1,16.03,,,1
05/27/2011 12:45:40,7.73,,,1,78.6,,,1,,,,,7.48,,,1,47,,,1,2.7,,,1,16.2,,,1
05/27/2011 13:00:40,7.7,,,1,78.5,,,1,,,,,7.46,,,1,48,,,1,2.8,,,1,16.26,,,1
05/27/2011 13:15:40,7.67,,,1,78.2,,,1,,,,,7.44,,,1,48,,,1,3.5,,,1,16.32,,,1
05/27/2011 13:30:40,7.66,,,1,78,,,1,,,,,7.43,,,1,49,,,1,3.4,,,1,16.24,,,1
05/27/2011 13:45:40,7.65,,,1,77.9,,,1,,,,,7.42,,,1,49,,,1,2.9,,,1,16.25,,,1
05/27/2011 14:00:40,7.64,,,1,78.1,,,1,,,,,7.44,,,1,49,,,1,2.9,,,1,16.42,,,1
05/27/2011 14:15:40,7.61,,,1,77.8,,,1,,,,,7.43,,,1,48,,,1,3.4,,,1,16.42,,,1
05/27/2011 14:30:40,7.6,,,1,77.6,,,1,,,,,7.42,,,1,49,,,1,3.4,,,1,16.36,,,1
05/27/2011 14:45:40,7.61,,,1,77.5,,,1,,,,,7.4,,,1,49,,,1,3.6,,,1,16.27,,,1
05/27/2011 15:00:40,7.65,,,1,77.6,,,1,,,,,7.38,,,1,49,,,1,3.3,,,1,16.11,,,1
05/27/2011 15:15:40,7.7,,,1,77.9,,,1,,,,,7.38,,,1,49,,,1,3.1,,,1,15.95,,,1
05/27/2011 15:30:40,7.72,,,1,77.9,,,1,,,,,7.37,,,1,50,,,1,3.3,,,1,15.84,,,1
05/27/2011 15:45:40,7.75,,,1,78.1,,,1,,,,,7.37,,,1,50,,,1,3.6,,,1,15.71,,,1
