FIRE_30YR,gridcode,WShed_Name,Area_sqmet,ASlopeDeg,FIREAREA30
1960s - 1980s,29,Lower Redondo Creek - Flume CZO,13276254.17051292,19.5287500,10.8018621
1990s - 2010s,29,Lower Redondo Creek - Flume CZO,13276254.17051292,19.5287500,13.2762542
1930s - 1950s,3,Indios Creek,14089443.26873789,17.5118020,12.5930643
1960s - 1980s,3,Indios Creek,14089443.26873789,17.5118020,14.0708559
1990s - 2010s,3,Indios Creek,14089443.26873789,17.5118020,6.4685573
1990s - 2010s,30,LaJara Creek - Flume CZO,3755887.00781138,5.9426560,3.7558870
1900s - 1920s,31,Rio Cebolla - Upper Site,139149103.48292944,16.2266930,1.0178949
1930s - 1950s,31,Rio Cebolla - Upper Site,139149103.48292944,16.2266930,31.6517333
1960s - 1980s,31,Rio Cebolla - Upper Site,139149103.48292944,16.2266930,36.3277448
1990s - 2010s,31,Rio Cebolla - Upper Site,139149103.48292944,16.2266930,13.7805351
1930s - 1950s,32,Redondo Meadow,1351594.22376813,22.8350880,0.8805335
1960s - 1980s,32,Redondo Meadow,1351594.22376813,22.8350880,0.0184605
1990s - 2010s,32,Redondo Meadow,1351594.22376813,22.8350880,1.3515942
1900s - 1920s,33,Jaramillo Creek above EFJ confluence,41446924.87260224,8.0048250,0.2024701
1930s - 1950s,33,Jaramillo Creek above EFJ confluence,41446924.87260224,8.0048250,0.4214956
1960s - 1980s,33,Jaramillo Creek above EFJ confluence,41446924.87260224,8.0048250,12.1786698
1990s - 2010s,33,Jaramillo Creek above EFJ confluence,41446924.87260224,8.0048250,34.4325306
1900s - 1920s,34,EFJ above Jaramillo Cr confluence,33347272.11399224,10.5333900,0.0005282
1930s - 1950s,34,EFJ above Jaramillo Cr confluence,33347272.11399224,10.5333900,19.1646686
1960s - 1980s,34,EFJ above Jaramillo Cr confluence,33347272.11399224,10.5333900,1.3735975
1990s - 2010s,34,EFJ above Jaramillo Cr confluence,33347272.11399224,10.5333900,31.0441755
1960s - 1980s,35,Valle Grande Pond trib,10313373.88269125,5.8638110,0.1107066
1990s - 2010s,35,Valle Grande Pond trib,10313373.88269125,5.8638110,5.1207456
1900s - 1920s,36,LaJara West Branch,14117841.48235912,13.6048760,0.4883537
1960s - 1980s,36,LaJara West Branch,14117841.48235912,13.6048760,0.0660242
1990s - 2010s,36,LaJara West Branch,14117841.48235912,13.6048760,11.8105201
1900s - 1920s,37,East Fork Jemez,89814976.63852756,8.8744410,0.3809251
1930s - 1950s,37,East Fork Jemez,89814976.63852756,8.8744410,19.7517188
1960s - 1980s,37,East Fork Jemez,89814976.63852756,8.8744410,15.0145193
1990s - 2010s,37,East Fork Jemez,89814976.63852756,8.8744410,74.3367009
1900s - 1920s,38,EFJ at Hidden Valley,111091221.91230069,10.6725460,0.9092426
1930s - 1950s,38,EFJ at Hidden Valley,111091221.91230069,10.6725460,23.0852622
1960s - 1980s,38,EFJ at Hidden Valley,111091221.91230069,10.6725460,15.5089811
1990s - 2010s,38,EFJ at Hidden Valley,111091221.91230069,10.6725460,88.5704596
1900s - 1920s,39,Rio San Antonio at Battleship Rock,271783763.92420042,16.6717040,11.2483202
1930s - 1950s,39,Rio San Antonio at Battleship Rock,271783763.92420042,16.6717040,117.0225051
1960s - 1980s,39,Rio San Antonio at Battleship Rock,271783763.92420042,16.6717040,94.6915402
1990s - 2010s,39,Rio San Antonio at Battleship Rock,271783763.92420042,16.6717040,145.0777146
1900s - 1920s,4,Lower San Antonio - Gauge site,158274318.02872467,13.3044060,10.3191928
1930s - 1950s,4,Lower San Antonio - Gauge site,158274318.02872467,13.3044060,45.6492369
1960s - 1980s,4,Lower San Antonio - Gauge site,158274318.02872467,13.3044060,32.1341114
1990s - 2010s,4,Lower San Antonio - Gauge site,158274318.02872467,13.3044060,92.0988252
1900s - 1920s,40,East Fork Jemez at Battleship Rock,175001758.87725216,15.7406510,2.0437466
1930s - 1950s,40,East Fork Jemez at Battleship Rock,175001758.87725216,15.7406510,42.0659123
1960s - 1980s,40,East Fork Jemez at Battleship Rock,175001758.87725216,15.7406510,36.4898569
1990s - 2010s,40,East Fork Jemez at Battleship Rock,175001758.87725216,15.7406510,113.9734665
1900s - 1920s,41,Rio Cebolla - Lower Site,171213455.04068416,13.6405670,1.0178949
1930s - 1950s,41,Rio Cebolla - Lower Site,171213455.04068416,13.6405670,44.7366974
1960s - 1980s,41,Rio Cebolla - Lower Site,171213455.04068416,13.6405670,51.6727010
1990s - 2010s,41,Rio Cebolla - Lower Site,171213455.04068416,13.6405670,27.3731003
1900s - 1920s,42,Jemez River @ VCNP SEC,470995714.33407176,20.5650770,13.5129947
1930s - 1950s,42,Jemez River @ VCNP SEC,470995714.33407176,20.5650770,165.7363044
1960s - 1980s,42,Jemez River @ VCNP SEC,470995714.33407176,20.5650770,135.5556967
1990s - 2010s,42,Jemez River @ VCNP SEC,470995714.33407176,20.5650770,260.0814851
1900s - 1920s,43,Vallecitos Creek in Paliza Canyon,31242857.32158426,18.0082250,0.2451547
1930s - 1950s,43,Vallecitos Creek in Paliza Canyon,31242857.32158426,18.0082250,20.2517532
1960s - 1980s,43,Vallecitos Creek in Paliza Canyon,31242857.32158426,18.0082250,4.2266935
1990s - 2010s,43,Vallecitos Creek in Paliza Canyon,31242857.32158426,18.0082250,20.1330282
1900s - 1920s,44,Jemez River @ USGS Gage - Canon,1222101405.94202232,13.9315310,18.0620888
1930s - 1950s,44,Jemez River @ USGS Gage - Canon,1222101405.94202232,13.9315310,334.6496022
1960s - 1980s,44,Jemez River @ USGS Gage - Canon,1222101405.94202232,13.9315310,309.0494173
1990s - 2010s,44,Jemez River @ USGS Gage - Canon,1222101405.94202232,13.9315310,361.7723461
1930s - 1950s,5,San Luis Creek,12970571.51257052,13.5248080,0.0195742
1960s - 1980s,5,San Luis Creek,12970571.51257052,13.5248080,0.8819393
1990s - 2010s,5,San Luis Creek,12970571.51257052,13.5248080,8.3055557
1900s - 1920s,6,Santa Rosa Creek,17663063.75453443,11.9377770,0.0005282
1930s - 1950s,6,Santa Rosa Creek,17663063.75453443,11.9377770,0.3647353
1960s - 1980s,6,Santa Rosa Creek,17663063.75453443,11.9377770,7.4719487
1990s - 2010s,6,Santa Rosa Creek,17663063.75453443,11.9377770,14.8711617
1930s - 1950s,7,Indios above San Antonio confluence,18024471.20901659,13.4120230,15.7261046
1960s - 1980s,7,Indios above San Antonio confluence,18024471.20901659,13.4120230,17.8046658
1990s - 2010s,7,Indios above San Antonio confluence,18024471.20901659,13.4120230,9.7000533
1900s - 1920s,8,San Antonio above Indios confluence,50275197.20648122,12.3885060,10.0705360
1930s - 1950s,8,San Antonio above Indios confluence,50275197.20648122,12.3885060,12.4958388
1960s - 1980s,8,San Antonio above Indios confluence,50275197.20648122,12.3885060,2.8156303
1990s - 2010s,8,San Antonio above Indios confluence,50275197.20648122,12.3885060,48.9059412
1900s - 1920s,9,Upper San Antonio - Gauge site,50178036.02277068,12.3841670,10.0705360
1930s - 1950s,9,Upper San Antonio - Gauge site,50178036.02277068,12.3841670,12.4958388
1960s - 1980s,9,Upper San Antonio - Gauge site,50178036.02277068,12.3841670,2.8156303
1990s - 2010s,9,Upper San Antonio - Gauge site,50178036.02277068,12.3841670,48.8509387
